,codigo_ibge,tx_benbf,UF,Município,FECTOT,RAZDEP,E_ANOSESTUDO,T_ANALF18M,T_FBBAS,T_FBFUND,T_FBMED,T_FBSUPER,GINI,PIND,PPOB,RDPCT,THEIL,P_FORMAL,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,PAREDE,T_M10A14CF,T_M15A17CF,I_ESCOLARIDADE,IDHM,IDHM_L,IDHM_R,tx_ocupacao_urbana,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
0,110001,0.6488414672643475,11,ALTA FLORESTA D'OESTE,2.24,47.37,8.67,13.0,90.45,107.69,45.99,21.23,0.58,14.29,47.12,512.46,0.6,41.68,80.2,22.58,94.05,93.98,9.31,7.18,0.0,6.75,0.368,0.641,0.763,0.657,0.5727287635290259,-11.9283,-61.9953,0,11,33,69,America/Porto_Velho
1,110002,0.6430172199130385,11,ARIQUEMES,1.91,46.68,9.18,8.53,94.78,106.62,58.77,27.95,0.53,4.36,29.04,698.01,0.51,52.81,85.35,27.15,96.72,98.58,11.4,5.62,0.0,9.1,0.514,0.702,0.806,0.716,0.8469558288047989,-9.90571,-63.0325,0,11,7,69,America/Porto_Velho
2,110003,0.68140589569161,11,CABIXI,2.15,48.12,10.09,14.73,97.65,109.08,68.27,22.04,0.51,7.27,46.98,468.09,0.44,39.38,91.63,19.93,99.14,96.36,3.31,0.84,1.12,5.47,0.357,0.65,0.757,0.65,0.4265800728655156,-13.4945,-60.552,0,11,37,69,America/Porto_Velho
3,110004,0.6027293589180216,11,CACOAL,1.9,43.79,9.74,8.94,100.81,108.09,80.94,38.23,0.57,5.97,29.82,750.2,0.61,55.07,93.44,20.5,98.17,98.89,1.85,3.39,0.68,6.03,0.488,0.718,0.821,0.727,0.7880596635019218,-11.4343,-61.4562,0,11,9,69,America/Porto_Velho
4,110005,0.6331368368242819,11,CEREJEIRAS,2.12,45.67,10.22,11.17,92.48,105.56,57.67,20.94,0.5,4.72,34.85,581.57,0.46,45.54,86.87,16.66,91.89,98.85,5.34,0.85,0.0,1.77,0.43,0.692,0.799,0.688,0.8467320453344295,-13.187,-60.8168,0,11,27,69,America/Porto_Velho
5,110006,0.5943148688046648,11,COLORADO DO OESTE,1.89,45.82,10.4,13.41,95.41,107.99,64.95,41.96,0.49,6.64,37.11,545.28,0.45,48.57,93.89,14.73,92.79,97.76,2.99,5.63,0.0,10.04,0.426,0.685,0.814,0.676,0.7346027647786564,-13.1174,-60.5454,0,11,23,69,America/Porto_Velho
6,110007,0.751501738855517,11,CORUMBIARA,2.29,46.32,9.82,13.55,85.59,103.48,42.49,10.23,0.48,10.16,46.42,414.1,0.43,43.3,86.43,14.46,90.19,97.81,6.31,1.08,0.0,5.58,0.316,0.613,0.774,0.63,0.29488785153136743,-12.9551,-60.8947,0,11,981,69,America/Porto_Velho
7,110008,0.8390651381853728,11,COSTA MARQUES,2.72,60.13,9.22,9.39,89.43,108.71,32.48,19.67,0.52,9.66,55.8,378.98,0.48,35.98,54.32,36.18,79.35,90.13,36.41,4.88,0.0,18.02,0.379,0.611,0.751,0.616,0.5481064483111566,-12.4367,-64.228,0,11,21,69,America/Porto_Velho
8,110009,0.6040675032453483,11,ESPIGÃO D'OESTE,2.22,46.83,9.55,12.18,97.47,106.42,71.24,18.67,0.52,6.6,35.08,606.09,0.48,41.78,84.71,19.97,91.07,96.7,7.66,5.89,1.59,7.73,0.402,0.672,0.819,0.691,0.71739357443698,-11.5266,-61.0252,0,11,25,69,America/Porto_Velho
9,110010,0.624051162512701,11,GUAJARÁ-MIRIM,2.61,56.67,8.17,8.7,96.87,107.88,61.7,17.32,0.54,10.38,43.92,517.03,0.51,49.28,49.32,43.4,90.41,97.71,36.84,7.85,0.0,10.53,0.486,0.657,0.823,0.663,0.8451843671980027,-10.7889,-65.3296,0,11,1,69,America/Porto_Velho
10,110011,0.5955690960719356,11,JARU,2.11,47.49,9.42,11.49,103.55,116.6,67.74,20.09,0.49,4.32,32.12,579.75,0.44,48.91,82.81,19.09,95.04,99.4,15.11,3.55,0.0,8.24,0.43,0.689,0.825,0.687,0.6752812229593308,-10.4318,-62.4788,0,11,15,69,America/Porto_Velho
11,110012,0.5979162055874291,11,JI-PARANÁ,2.26,43.98,9.95,8.38,97.29,109.08,67.27,27.38,0.53,2.67,26.26,747.05,0.52,59.07,89.31,23.3,95.36,99.35,5.87,3.48,0.25,5.0,0.532,0.714,0.81,0.728,0.8992196209587514,-10.8777,-61.9322,0,11,5,69,America/Porto_Velho
12,110013,0.7747739602169982,11,MACHADINHO D'OESTE,2.54,52.55,7.8,12.85,88.96,107.6,33.72,13.65,0.55,17.59,51.72,434.33,0.52,31.93,69.34,28.87,91.21,88.1,17.19,4.07,0.6,10.67,0.32,0.596,0.755,0.629,0.519447567046732,-9.44363,-61.9818,0,11,39,69,America/Porto_Velho
13,110014,0.739079693231077,11,NOVA BRASILÂNDIA D'OESTE,2.03,46.8,9.44,12.31,98.15,111.77,64.58,13.63,0.56,10.3,46.94,513.49,0.57,29.12,74.6,20.31,94.84,94.95,9.6,0.88,0.0,5.69,0.364,0.643,0.763,0.664,0.42165643554392673,-11.7247,-62.3127,0,11,41,69,America/Porto_Velho
14,110015,0.608581292125596,11,OURO PRETO DO OESTE,1.86,46.08,9.17,11.18,96.98,113.57,51.96,21.9,0.48,3.71,30.04,584.3,0.4,44.51,91.58,17.02,96.79,99.13,5.61,2.62,0.32,6.1,0.433,0.682,0.812,0.687,0.7429867116642058,-10.7167,-62.2565,0,11,17,69,America/Porto_Velho
15,110018,0.5723508597678316,11,PIMENTA BUENO,2.18,45.13,9.08,9.04,92.1,107.93,50.76,26.56,0.54,2.29,25.37,739.7,0.52,66.68,91.07,21.55,97.98,99.0,4.7,5.84,0.0,7.8,0.496,0.71,0.803,0.726,0.869759328247886,-11.672,-61.198,0,11,11,69,America/Porto_Velho
16,110020,0.64627827400791,11,PORTO VELHO,2.13,42.97,8.99,5.43,96.9,111.14,57.31,33.41,0.56,2.64,21.78,936.28,0.56,65.48,72.14,36.73,95.67,98.2,17.76,3.41,1.05,8.04,0.619,0.736,0.819,0.764,0.9118048571035198,-8.76077,-63.8999,1,11,3,69,America/Porto_Velho
17,110025,0.6957034540859309,11,PRESIDENTE MÉDICI,2.27,46.95,9.78,13.23,101.18,108.79,80.25,19.43,0.53,9.3,40.89,539.67,0.48,40.5,85.3,17.7,91.68,99.15,9.63,3.77,0.0,8.81,0.38,0.664,0.792,0.671,0.5960392490702988,-11.169,-61.8986,0,11,19,69,America/Porto_Velho
18,110026,0.6277056277056277,11,RIO CRESPO,2.93,53.02,9.03,14.36,91.38,105.31,46.06,14.59,0.58,16.85,54.28,450.11,0.59,42.88,83.94,27.09,95.82,96.42,8.15,0.68,0.0,7.48,0.367,0.643,0.813,0.637,0.3208685162846803,-9.69965,-62.9011,0,11,687,69,America/Porto_Velho
19,110028,0.6110778443113772,11,ROLIM DE MOURA,1.99,44.5,9.9,9.74,95.81,111.37,56.38,31.6,0.53,3.96,31.34,662.66,0.51,55.27,93.72,20.06,98.05,99.24,4.5,3.43,0.0,8.11,0.474,0.7,0.808,0.709,0.8179789922603065,-11.7271,-61.7714,0,11,29,69,America/Porto_Velho
20,110029,0.6034330207043002,11,SANTA LUZIA D'OESTE,2.32,45.72,9.71,14.13,98.71,107.04,76.32,19.0,0.49,8.2,40.67,486.57,0.44,41.2,87.69,15.24,78.87,99.21,8.09,3.51,0.0,4.02,0.401,0.67,0.812,0.657,0.5092279990997074,-11.9074,-61.7777,0,11,43,69,America/Porto_Velho
21,110030,0.7068170943614798,11,VILHENA,1.99,44.68,10.55,6.52,96.76,107.22,67.5,35.23,0.5,2.1,22.39,770.66,0.46,61.81,97.28,21.21,98.01,98.29,1.55,3.0,0.29,9.26,0.554,0.731,0.808,0.734,0.9477179076664655,-12.7502,-60.1488,0,11,13,69,America/Porto_Velho
22,110032,0.6656956819739548,11,SÃO MIGUEL DO GUAPORÉ,2.29,50.32,9.72,11.84,95.91,108.89,63.03,13.61,0.62,21.83,53.28,487.07,0.7,36.51,77.44,24.35,98.52,96.7,9.43,5.28,0.0,8.36,0.346,0.646,0.781,0.644,0.38803371816016125,-11.6953,-62.7192,0,11,45,69,America/Porto_Velho
23,110033,0.7495871862615587,11,NOVA MAMORÉ,2.78,56.64,7.7,14.22,101.11,117.57,45.0,12.94,0.52,11.73,52.95,394.19,0.47,32.82,57.14,31.45,78.14,91.43,31.57,4.61,0.0,17.91,0.294,0.587,0.769,0.619,0.579570655548656,-10.4077,-65.3346,0,11,47,69,America/Porto_Velho
24,110034,0.7530965578594402,11,ALVORADA D'OESTE,1.87,48.82,9.78,14.11,94.27,104.34,67.15,15.58,0.53,11.71,45.04,481.33,0.54,43.26,80.76,17.85,95.35,98.06,7.37,3.74,0.51,3.55,0.373,0.643,0.763,0.654,0.5235863051088827,-11.3463,-62.2847,0,11,35,69,America/Porto_Velho
25,110037,0.6639869509495514,11,ALTO ALEGRE DOS PARECIS,2.69,52.06,9.46,14.86,92.92,105.46,60.11,15.96,0.54,21.1,55.19,372.11,0.51,24.57,77.53,24.2,92.79,91.11,15.73,1.79,0.0,8.38,0.274,0.592,0.777,0.603,0.28534644194756553,-12.132,-61.835,0,11,2,69,America/Porto_Velho
26,110040,0.6858047911304692,11,ALTO PARAÍSO,2.93,53.17,7.61,12.83,92.42,109.5,37.77,12.3,0.54,8.34,43.91,507.68,0.54,27.95,72.84,21.88,87.49,97.06,15.58,6.83,0.0,8.73,0.309,0.625,0.804,0.664,0.4786693901371462,-9.71429,-63.3188,0,11,675,69,America/Porto_Velho
27,110045,0.7550002247292014,11,BURITIS,2.57,51.51,8.3,10.67,93.92,107.34,52.62,11.19,0.5,9.18,41.94,471.0,0.45,31.56,77.33,24.71,96.4,94.44,13.51,6.12,0.0,7.42,0.349,0.616,0.751,0.65,0.5596146126053794,-10.1943,-63.8324,0,11,4,69,America/Porto_Velho
28,110050,0.7441049253523092,11,NOVO HORIZONTE DO OESTE,2.26,47.61,8.8,15.68,100.09,112.49,67.78,16.6,0.51,16.6,54.79,365.37,0.49,30.94,86.25,22.51,97.77,98.86,8.4,2.7,0.0,5.69,0.35,0.634,0.799,0.606,0.16923828125,-11.6961,-61.9951,0,11,689,69,America/Porto_Velho
29,110060,0.7361438679245284,11,CACAULÂNDIA,2.53,53.74,9.44,14.34,97.87,104.63,75.97,15.89,0.56,8.8,45.4,511.23,0.55,31.55,74.25,26.48,96.1,94.16,10.75,6.12,0.75,4.72,0.312,0.646,0.801,0.664,0.36070432357043236,-10.349,-62.9043,0,11,677,69,America/Porto_Velho
30,110070,0.7709222886421861,11,CAMPO NOVO DE RONDÔNIA,2.73,53.14,7.86,13.46,86.02,104.38,26.96,6.18,0.67,15.58,54.43,548.79,0.79,21.88,60.87,26.32,90.17,84.79,16.2,0.86,0.0,13.65,0.283,0.593,0.772,0.667,0.26616660086853533,-10.5712,-63.6266,0,11,679,69,America/Porto_Velho
31,110080,0.7806570772933341,11,CANDEIAS DO JAMARI,2.87,54.61,8.19,11.93,96.83,112.49,46.98,15.01,0.47,7.14,38.44,480.46,0.37,50.24,74.32,40.29,76.96,95.28,16.08,6.05,0.0,16.82,0.433,0.649,0.819,0.652,0.6515496233378836,-8.7907,-63.7005,0,11,681,69,America/Porto_Velho
32,110090,0.6524590163934426,11,CASTANHEIRAS,2.54,48.71,9.96,15.6,97.99,106.16,77.51,24.72,0.5,12.02,41.69,476.1,0.44,35.23,87.36,20.52,90.07,97.44,5.47,1.54,0.0,6.65,0.389,0.658,0.803,0.65,0.23384615384615384,-11.4253,-61.9482,0,11,691,69,America/Porto_Velho
33,110092,0.6328597092928303,11,CHUPINGUAIA,2.92,50.76,9.53,11.19,115.36,127.81,74.48,14.42,0.47,5.39,37.88,494.33,0.39,52.61,83.49,29.61,87.79,92.11,8.08,0.88,0.0,9.07,0.38,0.652,0.82,0.659,0.4412721358872425,-12.5611,-60.8877,0,11,6,69,America/Porto_Velho
34,110094,0.7613426073639206,11,CUJUBIM,2.93,54.11,8.01,13.01,89.22,103.87,43.61,9.85,0.52,9.04,40.1,514.6,0.47,37.92,66.32,33.65,84.27,91.47,21.04,4.02,0.0,16.76,0.314,0.612,0.789,0.663,0.6965434590639586,-9.36065,-62.5846,0,11,8,69,America/Porto_Velho
